[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118600800,35,15913
『抄作业』一个人一只笔一个晚上一场奇迹~,欧美-流行-学习,介绍：抄作业必备燃曲一个人~一只笔~一个晚上~一场奇迹~,530,18394,112,13
那些年惠高广播台放过的歌,欧美-学习-华语,介绍：19届，做这个歌单纯粹是想惠高，想到就想哭，已经哭了兄弟姐妹们,1295,10918,302,316
花木兰BGM 『游戏专用』,欧美-流行-游戏,介绍：以我长剑，荡尽九野花木兰的铭文如下：铭文:9异变1祸源10鹰眼5狩猎5调和铭文:9异变1祸源7调和3隐匿10鹰眼铭文:9异变1祸源6调和4狩猎10鹰眼铭文:8异变2红月10鹰眼10狩猎♥以下是花木兰的技能连招（1）光速沉默：1A1或121，蹲草丛时使用（2）沉默连招：121A（3）沉默连招：1A1A2♥出装:cd鞋黑切破军名刀宗师碎星出装:抵抗鞋黑切宗师破军碎星锤复活甲/名刀♥,1137,59004,207,25
Sikd0pe：让你上瘾的旋律,欧美-电子,介绍：My favorite tunes to play & listen to at the moment :) 这个歌单是我喜欢的歌曲合集，欢迎收听！,634,13253,37,5
碧梨/比伯/猴西/霉霉/水果/A妹/戳爷/Lauv/,欧美-流行,介绍：感谢收听！建议随机播放猴西/碧梨/霉霉/戳爷/Lauv/水果/A妹/比伯/Gaga/梦龙/烟鬼/断眉/黄老板/MØ/蕾哈娜/魔力红/钱婆/夹杂一些好听的单曲.../ . /,4299,149804,687,67
写很多作业时听的歌(加油，再苦也熬得过去),学习-治愈-欧美,介绍：加油！来自初一学弟的激励(看下面↓)(获得+100000000智力)与你一起努力打开字幕食用更佳每周六晚上21:30准时更新10~20首推荐个人的学习方法:周五:放学回家看会儿电视放松一下，然后困了直接睡觉。周六:早上8点-下午2点半补课，2点半-3点洗澡，然后回家一直学习到23点，最后泡个脚，睡觉。周日:早上7点起床，10点开始写作业，直到晚上22点。(适合初中党，配上此歌单，干劲十足！)加油！加油加油加油！,510,18688,44,34
CSGO ESL ONE 2019科隆 bgm全收录,欧美-夜晚-游戏,介绍：歌单收录CSGO游戏重要赛事ESL ONE 科隆 2019现场的所有bgm开场音乐：TheFatRat-Monody纯音乐原版00:17 可在歌曲mv找再也不用到处问啦！听这歌单三天大地球 你就是s1mple精彩的比赛已落下帷幕 bgm奉上 恭喜Liquid让我们共同期待7.18major收藏上分不白给～歌曲是我自己在Shazam Spotify YTmusic一首一首找的部分没有现场那个版本 用歌手其他版本代替 未来上架后会尽快补上 望见谅,4171,110672,31,59
再见狂野之心,欧美-电子-游戏,介绍：游戏bgm,389,14984,19,25
支撑美术画画 Or肝作业的力量耐听杂食,欧美-学习-兴奋,介绍：“凌晨四点”“我看见海棠花未眠”“总觉得这时”“你应该在我身边”,1124,53956,225,13
超好听的英文歌单,欧美-电子-流行,介绍：欢迎收听,1512,93973,236,61
Alan Walker 前五十热门单曲,欧美-电子-流行,介绍：Are You OK?,573,23002,50,22
一些超棒的乐队,流行-欧美-另类/独立,介绍：欧美的超棒乐队他们是世界流行乐队的顶尖标准神采奕奕的、朝气蓬勃的、雄伟壮观、团结互助的、震耳欲聋、抑扬顿挫、 铿锵有力、配合默契激情澎湃、热火朝天、浩浩荡荡、锣鼓喧天,3153,92730,37,48
该去大闹一场咯（你们一直找不到的网红歌）,欧美-摇滚-兴奋,介绍：打游戏听了必胜,775,43800,113,9
我们的电子蓄能库,欧美-电子,介绍：This is our ENERGY playlist. BANGERS ONLY!!! Don't forget to follow us on Netease :)这是我们的“充电”歌单！听了这个歌单的BANGERS们都能充满能量噢！记得收藏噢！,670,18730,24,11
珍藏英文,欧美-流行-电子,介绍：风格相近的音乐基本放在一起,2713,47798,200,105
孤独者总是深夜病发.,欧美-伤感-夜晚,介绍：那天我们坐在商店门外的台阶上，风很大，我紧了紧你给我的外套。坐了蛮久，看着街上来来往往的人和路灯微弱的光，我伸手摸了摸口袋里早就写好却没拿出来的信。我想，有些感情，要是节制一点，也许会走得很长 很远…,3252,208843,282,20
⚡️19年12月新热电音推送,欧美-流行-电子,介绍：电音迷看过来〖OUT NOW〗本歌单从19年12月发行的新歌里精选出热门电音单曲，国外&国内制作人新歌一网打尽，持续更新中！—————— BY 大小姐不高兴——————,410,11830,357,16
小仙女写作业的必备良药（内含纯音乐）,欧美-轻音乐-流行,介绍：熬夜很爽一直熬夜一直爽都是作为小仙女的我们还是逃不过作业加油o(>﹏<)o超级推荐建议随机播放,223,7798,104,3
音乐斯图秀（持续更新）,欧美-流行-电子,介绍：小破站同名，风格不限于以上3种，持续更新！音乐斯图秀的节目歌单，你的良心电台！推歌私信就行，本人擅长非法集歌！(娱乐性节目的歌不会出现在这里)搜不到的请自行寻找啦233333欢迎更多同好集合在这里呦！,588,11195,288,44
【杂食电音】灵魂共振的宝藏电音~持续更新,欧美-电子-运动,介绍：电音爱好者 杂食 稍微玩过看过live 于电音基础知识一窍不通 全靠口味选歌 不喜勿喷 有问题&建议都可以私信我[筛选挺认真 不管是百大dj 999+还是没有被人发现的宝藏 只要好听 都有收藏 留步听听呗],173,7000,126,5
『金地·翡翠星海』售楼处背景音乐,欧美-爵士-工作,无,625,105595,571,1
岁月旅歌|让共同的回忆，镶在青春的纪念册,欧美-流行,介绍：在人生的旅途中尽管有过坎坷有过遗憾却没有失去青春的美丽相信自己希望总是有的让我们记住那句话：错过了太阳，我不哭泣，否则，我将错过月亮和星辰。,4659,328648,33,17
【官方精选】酒吧/抖腿/摇头/断头/打拳蹦迪,欧美-电子-酒吧,介绍：添加了一些官方日推，自己找的和比较喜欢的。几大流派的风格基本都有。每天保持更新 史上最乱的大杂烩,1484,58076,2018,评论
一个电子爱好者的歌单，,欧美-电子,介绍：I'm So Sorry 我爱的是电音(ಡωಡ)hiahiahia,501,23951,54,5
流行英文歌曲|写作业必备歌单,欧美-流行-电子,介绍：爱你三千遍,777,8659,193,10
NEXU Yearmix2010-2019歌单,欧美-电子-快乐,介绍：以色列组合NEXU 最新10周年歌单,318,5937,222,24
【节奏控】精品合集·超燃电音·性感人声,欧美-轻音乐-放松,介绍：·悠闲自在··享受时光··欢庆时节··享受奶香··节奏为主·快带上耳机享受一下节奏带来的快乐吧！～～～～～～～～～～～～～～～～～～喜欢的收藏一下吧～,2298,128380,389,75
星 河 不 知 意 .,欧美-电子,介绍：你爱的人飞跃山海 爱你的人等你回家,4848,232191,71,79
Stjæler Mit Hjerte,欧美,介绍：百口莫辩的人才懂得人心可畏,202,10943,218,3
MaRLo：带你去音乐的制高点,欧美-电子,介绍：There are songs of me and others' that i like， hope you can enjoy it!!这个歌单是一些我的歌曲和我喜欢的歌曲，希望能带给你们听觉的盛宴！,605,9948,58,4
第五人格 sh7adow的歌单～,欧美-流行,介绍：封面：今天打完排位，正好观战截的（找亮点ww）兜兜：能躲屠夫就是好洞(｀･ω･´)要到兜兜授权啦！！！呜哇啊啊啊啊原地螺旋起飞！！！！2020.3.3最近在忙着排位，暂时没什么时间看直播3.29,215,4320,190,31
TheFatRat鼠年拜年歌单，祝你新年不Glitch,欧美-电子-舞曲,介绍：鼠年快乐，在这里给大家拜年啦。跟着肥鼠一起来听歌吧，新的一年不Glitch！歌单不断更新中。,1959,44216,17,81
Jauz：激励我的歌曲合集,欧美-电子,介绍：What's up Sharksquad?! Check out this playlist I made for us all to jam to!!! I'm getting pumped up with tunes from myself & Skrillex， Ghastly， Valentino Khan， and many more! - (^^^)鲨鱼队的成员们你们好！快来看看我为大家制作的歌单吧！这里面有我和Skrillex， Ghastly， Valentino Khan等等的歌曲！都非常吸引我，希望你们也喜欢噢！,564,4123,37,7
「个人向」打游戏必备歌单,欧美-流行-电子,介绍：得劲,807,11405,41,8
Dharma Worldwide 暗势力小分队,电子-舞曲-欧美,介绍：ɹɯɥsʞ ɥʇ!ʍ ɔ!ɓɐɯ s! ɓu!ɥʇʎɹǝʌǝ‘ɯ!ɥ ǝʌol ǝʍ ɥɔnɯ ʍoɥ ʍouʞ ɹǝʌǝu ll!ʍ ɹɯɥsʞ达摩厂私藏,246,7025,23,7
国服马超上单〔bgm〕,欧美-日语,介绍：头脑和心灵一样清楚,174,9305,150,5
欧美热曲推荐（持续更新）,欧美-流行-电子,介绍：其实我的真实目的只是想分享一下歌单而已(捂脸(*/∇\*)),1528,86930,72,9
Keep It Mello 让我们一起来棉花糖,欧美-电子-舞曲,介绍：I like to keep it Mello. Here is some music from my friends. 来来来，老棉给你们推荐好听的歌曲咯，都是来自朋友们的歌，不定期更新中！快快收藏起来吧。,3393,77131,39,64
【有个恋爱我想谈谈】有Billy单身节不孤单,欧美-流行-孤独,介绍：最萌单身狗Billy空降云村代班Lauv，为你带来戳心单身节限时歌单,4064,156175,30,151
NEXU Yearmix 2019 (2010-2019),电子-流行-欧美,介绍：people gone， people die流连上个十年带给我们的感动更期待下个十年的奇迹一直年轻，一直泪流满面,307,5105,216,7
不怕病毒 就害怕你摇不起来,欧美-流行-电子,介绍：嗨起来,137,4194,273,3
一听秒爱！！〖超燃歌曲〗,流行-兴奋-欧美,介绍：超好听的旋律 一听秒爱 土嗨神曲 车载 蹦迪 抖腿,164,6958,94,10
绝对熟悉的英文歌单 前奏跪,欧美-流行-清新,介绍：这里是会经常听的英文歌单，都是很好听的英文合集,220,9234,58,评论
那些好听又找不到的英文歌～,欧美-流行-治愈,介绍：带你领略英文的魅力～沉浸其中，逐渐迷失自我……！,4923,130841,174,37
2020年最受欢迎的Hardstyle单曲,欧美-电子-舞曲,介绍：歌单来源于每月Q-dance TOP40 & Hardstyle.com更新时间：2020/04/01,262,8944,102,11
蹦迪选手就位,摇滚-欧美-酒吧,介绍：都闪开!我打起碟来，我连自己都打喜欢收藏 更新超嗨曲ᶘ ͡°ᴥ͡°ᶅ,721,52213,54,18
热血燃向｜自嗨型,欧美-兴奋-流行,介绍：日常蹦迪，建议耳机食用，个人喜好，喜欢收藏，接受建议。,152,7642,83,6
最棒的抖腿车载,电子-摇滚-欧美,介绍：最棒的抖腿音乐,176,12107,427,21
左右环绕【超级爽】,欧美-摇滚-电子,介绍：疫情这么严重，要不要和我一起在家蹦迪呢？左右环绕DJ，给你不一样的感觉。燥起来！【武汉加油】,977,35635,28,1
抖音2020年最火BGM,欧美-流行-电子,介绍：从抖音精挑细选出来2020最新最火的BGM，欧美、国音，纯音乐应有尽有，持续更新,566,45052,45,3
Him的一生「MC、破碎精选」,欧美-游戏-运动,介绍：这个歌单收录了关于him的一生的歌曲（something just like this）MC、破碎和符合him性格的歌曲。有什么觉得更him性格比较像的歌小伙伴们也可以向我推荐。谢谢大家的支持！感谢网易的破碎版权！,3686,133012,53,433
该去大闹一场咯,欧美-游戏,介绍：分享给你们,119,8730,51,3
电影片段，电影简介必配BGM,电子-流行-欧美,介绍：歌单里的BGM适合作为各种电影片段小伙伴们快拿去使用吧！（网易必备！！！网易最火！！！）会持续更新！！！,3574,118736,25,26
【Future bass】色彩漩涡，摄人心魂,欧美-电子,介绍：Future bass优质精选曲目,2678,229495,110,21
Confession Releases忏悔厂牌发行完整歌单,欧美-电子-舞曲,介绍：这个歌单里包含了所有“Confession"旗下发行的专辑和单曲并且持续按照时间顺序更新。其中包括了像Malaa， Mercer， Dombresky等浩室制作人的火爆单曲。--"Confession"厂牌创立于2015年，创办者为法国巴黎DJ/制作人Tchami。Tchami来自法国DJ/制作人组合“Pardon My French”，其中成员还包括DJ SNAKE， Malaa， 和Mercer。作为Future House领军人的Tchami创办的厂牌不仅持续发行高质量的作品，而且改变了整个EDM世界的潮流。你准备好受到Confession的洗礼了吗？--我听故我在，You Are What You Listen to,996,114532,343,1
『2020电音神曲』打造电音年度最佳歌单,游戏-欧美-电子,介绍：快跟着节奏摇起来，带上耳机，节奏感更强，直接起飞。专门玩游戏必备，只要适合和好听的。都是一听就会让你中毒的电音神曲。电音都是慢慢精挑细选出来的这些电音。第一次做歌单，谢谢大家。本歌单，纯电音，以及电音英文歌喜欢就收藏吧，方便下次试听。大家都是电音爱好者们喜欢歌单可以评价哦。过段时间出新歌单。2020-1-9-下午-17:34！,3676,119572,83,25
Alison Wonderland: 我的全收录,欧美-电子,介绍：Alison Wonderland's complete collection including new single 'Peace'.这是我的歌曲合集，包含了我的新曲《Peace》，欢迎来到仙境~,662,14694,70,12
约翰·谢尔比,欧美-流行,介绍：请大家收听，喜欢的话，建议你收藏,2505,80827,67,20
欧美 | 只有少年永远把永远挂在嘴边,欧美-流行-说唱,介绍：既然如此，那便怀一颗平常坦然之心去对待发生的一切，拥有的时候好好珍惜，到了告别的时候便认真地道声再见。,2492,35757,92,4
